society_slug,bhk,asking_low,asking_median,asking_high,maintenance_monthly,deposit_months,listings_basis,confidence,observed_on,sources,note
tata-promont,3BHK,65000,70000,95000,8000,5,4,medium,2026-06,https://www.99acres.com/tata-the-promont-for-rent-in-banashankari-bangalore-south-41046-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-tata-the-promont-bangalore,"Furnished cluster 65-70k; larger 3.5BHK furnished units push the high end; maintenance/deposit estimated to Bengaluru premium norm."
tata-promont,4BHK,95000,100000,115000,12000,5,3,low,2026-06,https://www.99acres.com/4-bhk-flats-for-rent-in-tata-the-promont-banashankari-bangalore-south-41046-rnpffid;https://www.squareyards.com/rent/4-bhk-flat-in-tata-the-promont-bangalore,"Thin 4BHK inventory (3000-3200 sqft); high end estimated for top-floor units."
tata-new-haven,2BHK,12000,18000,22000,2000,10,10,medium,2026-06,https://www.99acres.com/new-haven-by-tata-value-homes-for-rent-in-dasanapura-bangalore-west-14896-rnpffid;https://www.nestoria.in/tata-new-haven/flat/rent,"Value-segment township; semi-furnished 807-1100 sqft; Nestoria upper figures excluded as cross-locality contamination."
tata-new-haven,3BHK,20000,24000,28000,,10,2,low,2026-06,https://www.99acres.com/new-haven-by-tata-value-homes-for-rent-in-dasanapura-bangalore-west-14896-rnpffid;https://www.nobroker.in/tata-new-haven-dasanapura-hobli_bangalore-prjt-8a9fad827ea4a5f6017ea541f6cc79b5,"Thin in-society 3BHK inventory; band estimated from value-segment scaling."
tata-aquila-heights,2BHK,35000,38000,42000,,10,3,medium,2026-06,https://www.commonfloor.com/bangalore-property/tata-aquila-heights-5og5qq-p/for-rent;https://www.99acres.com/tata-aquila-heights-for-rent-in-jalahalli-bangalore-north-3404-rnpffid,"Thin society-specific 2BHK inventory; live listing 37k, area cluster 35-42k."
tata-aquila-heights,3BHK,47000,50000,55000,,10,7,medium,2026-06,https://www.99acres.com/tata-aquila-heights-for-rent-in-jalahalli-bangalore-north-3404-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-tata-aquila-heights-bangalore,"3BHK better represented; 99acres listings start 50k, 1304 sqft carpet at 47k, larger units to 55k."
birla-alokya,3BHK,58000,67000,90000,11000,6,6,medium,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-in-birla-alokya-whitefield-bangalore-prjtl;https://homeraaga.com/properties/3-bhk-apartment-birla-alokya-whitefield-5/,"Villaments rented as 3BHK flats 1600-2800 sqft; deposit varies 4L-flat to 10mo; 4BHK present but sale-only, no rental inventory."
lt-south-city,2BHK,24000,38000,55000,7200,3,14,medium,2026-06,https://www.squareyards.com/rent/2-bhk-flat-in-lnt-realty-south-city-bangalore;https://www.commonfloor.com/lt-south-city-bangalore-rent/prns-18nt1q,"Wide furnishing/size spread (980-1585 sqft); 35-42k typical for standard 2BHK."
lt-south-city,3BHK,35000,48000,65000,9000,3,6,medium,2026-06,https://www.squareyards.com/rent/3-bhk-flat-in-lnt-realty-south-city-bangalore;https://www.nobroker.in/l-and-t-south-city-arekere_bangalore-prjt-5ba009ad714b568105760e1a,"1445-1744 sqft units; 48k common semi-furnished."
lt-south-city,4BHK,65000,75000,90000,,3,1,low,2026-06,https://www.squareyards.com/bangalore-residential-property/lnt-realty-south-city/1942/project;https://www.99acres.com/l-and-t-south-city-for-rent-in-arekere-bangalore-south-497839-rnpffid,"Very thin inventory; ~3250 sqft units rarely listed; range inferred from project top-end."
lt-raintree-boulevard,2BHK,30000,36000,42000,,5,9,low,2026-06,https://www.commonfloor.com/bangalore-property/l&t-raintree-boulevard-ywe1p0-p/for-rent;https://www.99acres.com/2-bhk-flats-for-rent-in-l-and-t-raintree-boulevard-hebbal-bangalore-north-383319-rnpffid,"Project is mainly 3/4BHK so 2BHK count is small; ranges loosely corroborated."
lt-raintree-boulevard,3BHK,50000,68000,90000,,6,80,high,2026-06,https://www.99acres.com/3-bhk-flats-for-rent-in-raintree-boulevard-hebbal-bangalore-north-383319-rnpffid;https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-l&t-raintree-boulevard-bangalore-for-rs-70000/8a9ff9828648f1960186492f3d531f2a/detail,"Deepest inventory; cluster 65-85k semi-furnished 1300-1750 sqft; lower 49-55k smaller/unfurnished."
lt-raintree-boulevard,4BHK,100000,120000,150000,,6,41,medium,2026-06,https://www.99acres.com/4-bhk-flats-for-rent-in-l-and-t-raintree-boulevard-hebbal-bangalore-north-383319-rnpffid;https://www.commonfloor.com/bangalore-property/l&t-raintree-boulevard-ywe1p0-p/for-rent,"2497-2992 sqft; penthouse outliers above 1.5L excluded; deposit ~6 months."
mahindra-windchimes,3BHK,50000,70000,95000,7000,8,10,medium,2026-06,https://www.commonfloor.com/bangalore-property/mahindra-lifespace-windchimes-uhe87t-p/for-rent;https://www.squareyards.com/rent/property-for-rent-in-mahindra-windchimes-bangalore,"Clusters 55-75k; 95k top-floor fully-furnished outlier; 1750-1850 sqft typical."
mahindra-windchimes,4BHK,90000,105000,120000,,8,3,low,2026-06,https://www.commonfloor.com/bangalore-property/mahindra-lifespace-windchimes-uhe87t-p/for-rent;https://www.nobroker.in/4bhk-flats-for-rent-near-mahindra_lifespace_windchimes_phase_ii_bangalore,"Thin inventory; many 4BHK portal hits were nearby-locality fallbacks; 2000-2400 sqft."
assetz-marq,3BHK,59000,66000,76000,11426,5,12,medium,2026-06,https://www.99acres.com/assetz-marq-2-for-rent-in-whitefield-bangalore-east-812564-rnpffid;https://www.squareyards.com/rent/3-bhk-flat-in-assetz-marq-bangalore,"1604-1906 sqft semi-to-fully furnished; one stale 28k listing excluded; no clean 4BHK/1BHK rental inventory found."
