slug,name,locality,builder,city,year_built_from,year_built_to,total_units,featured_bhk,description
gopalan-atlantis,Gopalan Atlantis,Whitefield,Gopalan Enterprises,Bengaluru,2014,2014,384,2BHK,"Mid-sized 2 and 3 BHK gated community in Whitefield with deep rental liquidity."
gopalan-grandeur,Gopalan Grandeur,Hoodi,Gopalan Enterprises,Bengaluru,2011,2011,558,2BHK,"Established 2 and 3 BHK gated community in Hoodi near the ITPL and Whitefield corridor."
gopalan-habitat-splendour,Gopalan Habitat Splendour,Kundalahalli,Gopalan Enterprises,Bengaluru,2007,2007,246,2BHK,"Long-established large-format gated community in Kundalahalli with 2 to 4 BHK homes."
gopalan-olympia,Gopalan Olympia,Kumbalgodu,Gopalan Enterprises,Bengaluru,2020,2020,1344,2BHK,"Large value-segment 2 and 3 BHK sports-themed community off Mysore Road."
concorde-tech-turf,Concorde Tech Turf,Electronic City,Concorde Group,Bengaluru,2017,2017,148,2BHK,"Compact 2 and 3 BHK mid-rise community in Electronic City Phase 1."
concorde-silicon-valley,Concorde Silicon Valley,Electronic City,Concorde Group,Bengaluru,2010,2010,229,3BHK,"Established 18-acre villa and plotted township in Electronic City, occupied since 2010; rentable stock is 3 BHK villas."
concorde-manhattans,Concorde Manhattans,Electronic City,Concorde Group,Bengaluru,2023,2023,900,3BHK,"Large 2 and 3 BHK apartment community in Electronic City, recently completed and filling up."
casagrand-royce,Casagrand Royce,Hoodi,Casagrand,Bengaluru,2019,2019,277,2BHK,"Completed mid-rise 2 to 4 BHK gated community at Hoodi Junction near Whitefield."
provident-welworth-city,Provident Welworth City,Yelahanka,Provident Housing,Bengaluru,2014,2014,3360,3BHK,"Large affordable 2 and 3 BHK township off Doddaballapur Road, occupied since 2014."
provident-sunworth-city,Provident Sunworth City,Mysore Road,Provident Housing,Bengaluru,2016,2016,3456,2BHK,"Sprawling affordable 2 and 3 BHK township off Mysore Road near Kengeri."
provident-park-square,Provident Park Square,Kanakapura Road,Provident Housing,Bengaluru,2023,2023,3882,2BHK,"Large compact-format 1, 2 and 3 BHK community off Kanakapura Road with deep rental supply."
provident-harmony,Provident Harmony,Thanisandra,Provident Housing,Bengaluru,2022,2023,548,3BHK,"Compact community on Thanisandra Main Road with an unusual 1 and 3 BHK config mix."
shriram-chirping-woods,Shriram Chirping Woods,Harlur,Shriram Properties,Bengaluru,2020,2020,870,3BHK,"Wooded 1, 2 and 3 BHK gated community off the Sarjapur and ORR junction."
shriram-greenfield,Shriram Greenfield,Budigere Cross,Shriram Properties,Bengaluru,2019,2019,1650,2BHK,"Large 2 and 3 BHK township near Budigere Cross on the Old Madras Road corridor."
shriram-blue,Shriram Blue,KR Puram,Shriram Properties,Bengaluru,2021,2021,471,3BHK,"Resort-themed 1, 2 and 3 BHK lakeside community in KR Puram near Whitefield."
shriram-southern-crest,Shriram Southern Crest,JP Nagar,Shriram Properties,Bengaluru,2022,2022,250,3BHK,"Compact ready-to-move tower near JP Nagar metro with 2 and 3 BHK homes."
shriram-summitt,Shriram Summitt,Electronic City,Shriram Properties,Bengaluru,2021,2021,1008,2BHK,"Large 1, 2 and 3 BHK apartment complex on Veerasandra Main Road, Electronic City."
prestige-falcon-city,Prestige Falcon City,Kanakapura Road,Prestige Group,Bengaluru,2020,2020,2520,2BHK,"Large Prestige township on Kanakapura Road with deep 2, 3 and 4 BHK rental inventory."
prestige-jindal-city,Prestige Jindal City,Tumkur Road,Prestige Group,Bengaluru,2022,2022,3571,2BHK,"One of Prestige's largest West Bengaluru high-rise communities on Tumkur Road, metro at the gate."
prestige-song-of-the-south,Prestige Song of the South,Begur,Prestige Group,Bengaluru,2020,2020,1733,2BHK,"Completed Prestige community on Begur Road spanning 1 to 4 BHK homes."
prestige-tranquility,Prestige Tranquility,Budigere Cross,Prestige Group,Bengaluru,2019,2019,2368,2BHK,"Very large Prestige high-rise community at Budigere Cross with extensive 1, 2 and 3 BHK supply."
prestige-kew-gardens,Prestige Kew Gardens,Yemalur,Prestige Group,Bengaluru,2019,2019,970,2BHK,"Low-rise Prestige enclave near Bellandur and Yemalur popular with the ORR tech corridor."
prestige-gulmohar,Prestige Gulmohar,Horamavu,Prestige Group,Bengaluru,2018,2018,404,2BHK,"Smaller Prestige high-rise in Horamavu with steady 2 and 3 BHK rental availability."
sobha-forest-view,Sobha Forest View,Kanakapura Road,Sobha,Bengaluru,2019,2019,912,3BHK,"Eco-themed forest-adjacent Sobha community on Kanakapura Road with spacious 3 and 4 BHK homes."
sobha-arena,Sobha Arena,Talaghattapura,Sobha,Bengaluru,2021,2022,657,2BHK,"Value 2 and 3 BHK mid-rise community on Kanakapura Road with sports-focused amenities."
sobha-indraprastha,Sobha Indraprastha,Rajajinagar,Sobha,Bengaluru,2019,2019,356,3BHK,"Landmark twin-tower luxury high-rise in Rajajinagar with 3 and 4 BHK homes and a 37th-floor pool."
sobha-hrc-pristine,Sobha HRC Pristine,Jakkur,Sobha,Bengaluru,2023,2023,381,3BHK,"Premium North Bengaluru community near Jakkur lake with large 2, 3 and 4 BHK homes."
sobha-iris,Sobha Iris,Devarabeesanahalli,Sobha,Bengaluru,2014,2014,336,3BHK,"Mid-rise gated 3 BHK community on the Bellandur and Devarabeesanahalli ORR tech corridor."
brigade-gateway,Brigade Gateway,Rajajinagar,Brigade Group,Bengaluru,2010,2010,1200,3BHK,"Landmark 40-acre integrated enclave in Rajajinagar with luxury apartments beside Orion Mall and the WTC."
brigade-exotica,Brigade Exotica,Old Madras Road,Brigade Group,Bengaluru,2018,2018,454,3BHK,"High-rise luxury 3, 4 and 5 BHK towers off Old Madras Road, about 20 minutes from Whitefield."
brigade-meadows,Brigade Meadows,Kanakapura Road,Brigade Group,Bengaluru,2017,2017,1848,2BHK,"Large 60-acre township on Kanakapura Road offering compact 2 and 3 BHK homes with extensive amenities."
brigade-millennium,Brigade Millennium,JP Nagar,Brigade Group,Bengaluru,2008,2008,1000,2BHK,"Established large premium 2, 3 and 4 BHK gated community in JP Nagar 7th Phase."
brigade-golden-triangle,Brigade Golden Triangle,Budigere Cross,Brigade Group,Bengaluru,2016,2016,672,2BHK,"18-acre 2, 3 and 4 BHK community near Budigere Cross, close to Whitefield and KR Puram."
brigade-palm-springs,Brigade Palm Springs,JP Nagar,Brigade Group,Bengaluru,2008,2008,216,3BHK,"Well-occupied premium 3 BHK twin-tower community in JP Nagar 7th Phase."
godrej-woodsman-estate,Godrej Woodsman Estate,Hebbal,Godrej Properties,Bengaluru,2010,2010,924,2BHK,"Long-established large Godrej gated community in Hebbal with 2, 3 and 4 BHK homes."
godrej-e-city,Godrej E-City,Electronic City,Godrej Properties,Bengaluru,2018,2018,860,2BHK,"Mid-rise Godrej community in Electronic City Phase 1, occupied since 2018."
godrej-eternity,Godrej Eternity,Kanakapura Road,Godrej Properties,Bengaluru,2016,2016,889,2BHK,"Large low-rise Godrej gated community on Kanakapura Road with 1, 2 and 3 BHK homes."
godrej-aqua,Godrej Aqua,Bellary Road,Godrej Properties,Bengaluru,2022,2022,540,2BHK,"High-rise Godrej community on the Airport Road corridor, occupied since late 2022 with 2 and 3 BHK homes."
