society_slug,bhk,asking_low,asking_median,asking_high,maintenance_monthly,deposit_months,listings_basis,confidence,observed_on,sources,note
gopalan-atlantis,2BHK,28000,38000,55000,,,3,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-gopalan-atlantis-bangalore;https://www.commonfloor.com/bangalore/property/apartment-ht/rent/2-bhk/gopalan-atlantis-3ucc4c-p,"QA-revised down: Nestoria 2BHK clean set medians ~34-38k (26k-57k); prior 44k sat at p75 not median; semi-furnished dominates."
gopalan-atlantis,3BHK,49000,55000,80000,7000,6,4,medium,2026-06,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-whitefield-bangalore-for-rs-75000/8a9faf827f8d096b017f8da7bcf45c05/detail;https://www.99acres.com/gopalan-atlantis-for-rent-in-dodsworth-layout-bangalore-east-49158-rnpffid,"QA-revised down: inventory clusters 50-55k (median ~55k); 75-80k are largest/furnished units; prior 72k was too high."
gopalan-grandeur,2BHK,21000,25000,30000,4000,3,6,medium,2026-06,https://www.99acres.com/2-bhk-flats-for-rent-in-gopalan-grandeur-hoodi-bangalore-east-24756-rnpffid;https://www.commonfloor.com/bangalore-property/gopalan-grandeur-yudzc0-p/for-rent/apartment-ht/2-bhk,"Thin live inventory; semi-furnished cluster 21-28k; 48-52k outliers excluded as mislabeled or fully-furnished."
gopalan-grandeur,3BHK,25000,30000,35000,3000,3,5,medium,2026-06,https://www.squareyards.com/rent/3-bhk-flat-in-gopalan-grandeur-bangalore;https://www.nobroker.in/3bhk-flats-for-rent-in-gopalan-grandeur-hoodi-bangalore-prjtl,"25k semi-furnished to 35k larger units; fully-furnished ~30k incl maintenance."
gopalan-habitat-splendour,2BHK,35000,42000,50000,3000,2,4,medium,2026-06,https://www.99acres.com/gopalan-habitat-splendour-for-rent-in-kundalahalli-colony-bangalore-east-25322-rnpffid;https://www.squareyards.com/bangalore-residential-property/gopalan-habitat-splendour/18242/project,"~1100-1200 sqft; one furnished listing at 50k anchors the high end."
gopalan-habitat-splendour,3BHK,45000,55000,70000,4000,2,3,low,2026-06,https://www.squareyards.com/rent/3-bhk-flat-in-gopalan-habitat-splendour-bangalore;https://www.99acres.com/gopalan-habitat-splendour-for-rent-in-kundalahalli-colony-bangalore-east-25322-rnpffid,"Thin live inventory incl large 2050 sqft penthouse units; range inferred from project band 38k-1.6L; 4BHK present but no rental inventory found."
gopalan-olympia,2BHK,25000,29000,38000,2500,6,9,medium,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-near-gopalan_olympia_bangalore;https://www.99acres.com/apartments-flats-for-rent-in-gopalan-olympia-mysore-road-bangalore-west-341535-rnpffid,"Budget far-out Kumbalgodu off Mysore Rd; ~980-1050 sqft; deposit varies 1-3.5L; outlier near-society listings excluded."
gopalan-olympia,3BHK,38000,40000,45000,3000,6,3,low,2026-06,https://www.nobroker.in/3bhk-flats-for-rent-near-gopalan_olympia_bangalore;https://www.99acres.com/gopalan-olympia-for-rent-in-mysore-road-bangalore-west-341535-rnpffid,"Thin inventory ~1200-1360 sqft; budget far-out location."
concorde-tech-turf,2BHK,26000,28000,31000,,3,2,low,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-in-concorde-tech-turf-electronic-city-bangalore-prjtl;https://www.99acres.com/flats-for-rent-in-concorde-tech-turf-electronics-city-phase-1-bangalore-south-14364-rnpffid,"Thin inventory; ~1135 sqft semi-furnished anchor at 28k with ~1L deposit; range inferred."
concorde-tech-turf,3BHK,36000,38000,44000,,3,3,low,2026-06,https://www.nobroker.in/flats-for-rent-in-concorde-tech-turf-electronic-city-bangalore-prjtl;https://www.commonfloor.com/bangalore-property/concorde-tech-turf-s1ancn-p/for-rent/apartment-ht/3-bhk,"Few live owner listings; 38k semi-furnished 1200 sqft anchor; high end may reflect furnishing not size."
concorde-silicon-valley,3BHK,28000,33000,45000,4000,,3,low,2026-06,https://www.concorde.in/electronic-city/villas/silicon-valley/;https://www.propertyangel.in/3bhk_villa_concorde-silicon-valley_electronic-city_7268.html,"QA correction: this is a 3BHK VILLA/plotted township, not apartments; 2BHK row removed (all 2BHK portal listings were conflated neighbours); in-society 3BHK villas ~28-45k."
concorde-manhattans,2BHK,20000,34000,50000,5500,3,3,low,2026-06,https://www.nobroker.in/flats-for-rent-near-concorde_manhattans_bangalore;https://www.commonfloor.com/bangalore-property/concorde-manhattans-7aozu6-p/for-rent,"Wide 20-50k spread on very thin 2BHK inventory mixing semi and fully furnished; recently occupied so listings ramping."
concorde-manhattans,3BHK,45000,49000,54000,6000,4,7,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-concorde_manhattans_bangalore;https://www.squareyards.com/rent/property-for-rent-in-concorde-manhattans-bangalore,"Cluster 45-54k; a 1.5L outlier (10L deposit) excluded as a mis-tagged penthouse; mostly semi-furnished."
casagrand-royce,2BHK,35000,40000,45000,3000,3,2,low,2026-06,https://www.nobroker.in/2bhk-flats-for-rent-near-casagrand_royce_bangalore;https://houssed.com/bangalore/casagrand-builder/casagrand-royce-101231,"Thin Royce-specific inventory; deposit ~3-4 months from 1L-2L observed on 1026-1058 sqft semi-furnished units."
casagrand-royce,3BHK,45000,50000,58000,,,2,low,2026-06,https://www.commonfloor.com/bangalore-property/casagrand-royce-dk75fr-p/for-rent;https://houssed.com/bangalore/casagrand-builder/casagrand-royce-101231,"QA correction: prior 38k single point was mis-attributed to Srimitra Symphony (a different Hoodi society); 3BHK units are larger than the 2BHK so rent is higher; Hoodi 3BHK band ~45-58k. Low confidence, no clean in-society listing fetched."
provident-welworth-city,2BHK,16000,19000,23000,2000,3,4,medium,2026-06,https://www.nobroker.in/flats-for-rent-near-provident_welworth_city_bangalore;https://www.squareyards.com/rent/2-bhk-flat-in-provident-welworth-city-bangalore,"Thin 2BHK inventory; affordable township so rents low; a stale 8k listing excluded as outlier."
provident-welworth-city,3BHK,16000,22000,27000,2500,3,16,high,2026-06,https://www.nobroker.in/flats-for-rent-near-provident_welworth_city_bangalore;https://www.nestoria.in/provident-welworth-city/flat/rent,"Deeper 3BHK inventory (16+ live); range spans semi to fully furnished; deposit 50k-2L varies by unit."
provident-sunworth-city,2BHK,18000,22000,28000,,10,12,medium,2026-06,https://www.99acres.com/provident-sunworth-for-rent-in-mysore-road-bangalore-west-385047-rnpffid;https://www.squareyards.com/rent/property-for-rent-in-provident-sunworth-bangalore,"883 sqft units; 99acres project range 18k-32.7k spans furnishing; portals block scraping so figures from snippets."
provident-sunworth-city,3BHK,22000,25000,28000,,,5,low,2026-06,https://www.squareyards.com/rent/3-bhk-flat-in-provident-sunworth-bangalore;https://www.99acres.com/provident-sunworth-for-rent-in-mysore-road-bangalore-west-385047-rnpffid,"Fewer live 3BHK listings; SY semi-furnished 1082 sqft at 24k anchors low; high end estimated for larger units."
provident-park-square,1BHK,14000,17000,26000,,2,9,low,2026-06,https://www.nobroker.in/flats-for-rent-in-provident_park_square_bangalore;https://gharpe.com/bangalore/provident-park-square/rentals,"Thin 1BHK inventory; ~525 sqft compact units; wide spread across furnishing."
provident-park-square,2BHK,22000,29000,38000,2000,2,32,medium,2026-06,https://gharpe.com/bangalore/provident-park-square/rentals;https://www.nobroker.in/flats-for-rent-in-provident_park_square_bangalore,"Deepest inventory; range varies by furnishing/tower; median asking-derived."
provident-park-square,3BHK,32000,40000,52000,3000,3,26,medium,2026-06,https://gharpe.com/bangalore/provident-park-square/rentals;https://www.commonfloor.com/bangalore-property/provident-park-square-5e4ei2-p/for-rent/3-bhk,"Anchored on Gharpe/NoBroker; some portal listings cross-contaminated by nearby projects so high end trimmed."
provident-harmony,1BHK,23500,25000,26000,2582,3,4,low,2026-06,https://www.nobroker.in/1bhk-flats-for-rent-in-thanisandra_main_road_bangalore;https://www.squareyards.com/rent/property-for-rent-in-provident-harmony-bangalore,"Very thin inventory; 465-700 sqft semi-furnished; deposit 60-80k implies 2-3mo; indicative only."
provident-harmony,3BHK,25000,32000,39000,4000,4,30,medium,2026-06,https://www.squareyards.com/rent/property-for-rent-in-provident-harmony-bangalore;https://www.commonfloor.com/bangalore-property/provident-harmony-l5yx1h-p/for-rent,"Asking-rent spread across portals; semi-furnished 1000-1262 sqft; deposit est 4mo from one 1.25L-on-31k data point."
shriram-chirping-woods,2BHK,38000,45000,52000,,3,6,low,2026-06,https://www.squareyards.com/rent/property-for-rent-in-shriram-chirping-woods-bangalore;https://www.commonfloor.com/bangalore-property/shriram-chirping-woods-apartment-lz1o0f-p/for-rent/apartment-ht/2-bhk,"Thin in-society 2BHK inventory; portals mix in nearby societies so band is approximate."
shriram-chirping-woods,3BHK,54000,65000,85000,,3,10,medium,2026-06,https://www.squareyards.com/rent/3-bhk-flat-in-shriram-chirping-woods-bangalore;https://www.99acres.com/shriram-chirping-woods-for-rent-in-harlur-bangalore-south-315383-rnpffid,"3BHK is the deepest config; ~97k large furnished outliers excluded from median."
shriram-greenfield,2BHK,26000,30000,38000,3000,3,6,medium,2026-06,https://www.nestoria.in/shriram-greenfield/property/rent;https://www.squareyards.com/rent/property-for-rent-in-shriram-greenfield-bangalore,"Thin sample; one furnished outlier near 42k pulls the high end."
shriram-greenfield,3BHK,35000,55000,68000,5000,3,10,medium,2026-06,https://www.nestoria.in/shriram-greenfield/property/rent;https://www.squareyards.com/rent/3-bhk-flat-in-shriram-greenfield-bangalore,"Wide range driven by size 1345-1900 sqft and furnishing; deposit ~2L."
