slug,name,locality,builder,year_built_from,year_built_to,total_units,description,aliases,median_rent_2bhk,range_2bhk_low,range_2bhk_high,median_rent_3bhk,range_3bhk_low,range_3bhk_high,report_count,last_updated,confidence_label,featured_bhk
prestige-shantiniketan,Prestige Shantiniketan,Whitefield,Prestige Group,2009,2013,3000,"Premium gated community on Whitefield Main Road. Mix of 2 / 3 / 4 BHK and villas across multiple towers.",Shantiniketan;Prestige Shanthi,62000,55000,72000,85000,72000,105000,18,2026-05-14T08:30:00Z,partially verified,2BHK
sobha-dream-acres,Sobha Dream Acres,Panathur,Sobha,2017,2019,3500,Large gated development in the Panathur belt with rolling green spaces and clubhouses.,Dream Acres;Sobha Dream,38000,32000,45000,55000,48000,65000,42,2026-05-13T18:00:00Z,verified source,2BHK
brigade-cosmopolis,Brigade Cosmopolis,Whitefield,Brigade Group,2014,2014,600,Mixed-use community with residential towers next to retail and office blocks.,Cosmopolis,58000,50000,68000,85000,72000,105000,27,2026-05-13T04:00:00Z,partially verified,3BHK
adarsh-palm-retreat,Adarsh Palm Retreat,Bellandur,Adarsh Developers,2010,2010,1200,Sprawling low-rise community wrapped around landscaped greens.,Palm Retreat;APR,65000,55000,78000,95000,80000,120000,31,2026-05-12T10:00:00Z,partially verified,3BHK
mantri-espana,Mantri Espana,Bellandur,Mantri Developers,2014,2014,700,High-rise towers off Outer Ring Road.,Espana;Mantri,,,,78000,,,4,2026-05-12T15:00:00Z,limited data,3BHK
embassy-pristine,Embassy Pristine,Sarjapur Road,Embassy Group,2014,2014,800,Mid-rise community along Sarjapur Road with mature landscaping.,Pristine;Embassy,55000,48000,64000,75000,65000,90000,22,2026-05-13T12:00:00Z,partially verified,2BHK
prestige-lakeside-habitat,Prestige Lakeside Habitat,Varthur,Prestige Group,2014,2018,3426,"Disney-themed Prestige township along Varthur Lake with 2 / 3 / 4 BHK apartments and villas.",Lakeside Habitat;PLH,55000,48000,65000,82000,70000,98000,38,2026-05-13T09:15:00+05:30,verified source,3BHK
salarpuria-sattva-magnus,Salarpuria Sattva Magnus,Hoodi,Salarpuria Sattva,2013,2015,500,Premium high-rise off ITPL Main Road with skyline-facing apartments.,Sattva Magnus;Salarpuria Magnus,55000,48000,64000,80000,70000,95000,21,2026-05-10T14:00:00+05:30,partially verified,2BHK
brigade-metropolis,Brigade Metropolis,Mahadevapura,Brigade Group,2008,2010,1500,"Mature Mahadevapura township with multiple towers, retail and a school inside the gates.",Metropolis;Brigade Metro,52000,45000,62000,75000,65000,92000,29,2026-05-11T16:45:00+05:30,partially verified,3BHK
purva-riviera,Purva Riviera,Marathahalli,Puravankara,2006,2008,1024,Long-standing Marathahalli community across multiple low-rise blocks near the ORR.,Riviera;Puravankara Riviera,42000,36000,52000,62000,55000,75000,33,2026-05-12T08:00:00+05:30,partially verified,2BHK
divyasree-77-place,DivyaSree 77 Place,Marathahalli,DivyaSree Developers,2013,2015,386,"Compact premium community off Marathahalli–Sarjapur ORR with three high-rise towers.",77 Place;DivyaSree 77,58000,50000,68000,85000,72000,100000,12,2026-05-09T11:30:00+05:30,partially verified,3BHK
